Side,Trick_list,Category
BS,Ollie 5,4
"BS, BS",Body Varial 540,4
BS,Body Varial 540,4
BS,540 Tail Grab,4
BS,540 Indy,4
BS,"Fakie, 540 Mute",4
"BS, BS","Indy, 540 Indy",4
BS,"Indy, 540 Indy",4
BS,540 Mute,4
BS,540 Melon,4
FS,540 Melon,4
"BS, FS","540 Melon, Nose Grind",4
BS,540 Nose Grab,4
FS,540 Nose Grab,4
BS,"Backside Air, 540 Nose Grab",4
BS,"Nose Grab, 540 Nose Grab",4
FS,"180 Halfcab, Blunt",4
FS,"Blunt, Kickflip",4
FS,Rodeo,4
BS,"180 Halfcab, Blunt",4
BS,"Blunt, Kickflip, Fakie",4
BS,Burntwist,4
BS,"360, Backside Air",4
BS,"360, Indy",4
BS,"Backside Air, 360",4
BS,"Backside Air, Fakie",4
BS,"Judo, 360",4
BS,"Ollie, Blunt, Kickflip, Fakie",4
BS,"Indy, 360",4
BS,"Nose Grab, 360, Alley Oop",4
BS,"Mute, 360",4
"Revert, BS",Nose Blunt,4
Revert,Nose Blunt,4
BS,"Melon, 360",4
BS,"Nose Grab, 360",4
BS,"360, Melon",4
Revert,"Cab, Disaster",4
BS,"Cab, Heelflip",4
BS,"Cab, Heelflip, Indy",4
BS,Nose Bluntslide,4
BS,"Boneless, 180, Fakie",4
BS,"Boneless, 360",4
Switch,Losi,4
BS,"Nose Bluntslide, Indy",4
BS,"Pivot, 270",4
Switch,Backside Air,3
BS,"Ollie, 360",3
"Switch, FS",Ollie,3
"FS, Switch",Ollie,3
FS,"Fakie, Kickflip, 180",3
"Switch, FS",Feeble,3
FS,Frontflip,3
BS,"Kickflip, Melon, Nose Blunt",3
BS,"Kickflip, Nose Grab, Bodyjar",3
"Revert, BS",Lip Slide,3
BS,"Lip Slide, 180",3
BS,"Lip Slide, Fakie",3
BS,"Ollie, Tailslide, Revert",3
Revert,"Ollie, Tailslide",3
FS,"Frontflip, Stalefish",3
FS,"Kickflip, Stalefish",3
Switch,Ollie,3
BS,"Kickflip, Decker",3
BS,"Varial Kickflip, Indy",3
BS,Heelflip,3
FS,"Ollie, Late Shove-It",3
BS,Tre Flip,3
FS,"Varial Kickflip, Tail Grab",3
FS,Bluntslide,3
FS,No Comply,3
BS,Varial Kickflip,3
BS,"Heelflip, Indy",3
FS,"Heelflip, Frontside Air",3
Switch,50-50,3
BS,"Kickflip, Disaster",3
BS,"Kickflip, Melon, Disaster",3
BS,"Kickflip, Melon",3
BS,"Kickflip, Lip Slide",3
FS,"Heelflip, Indy",3
BS,"Kickflip, Bodyjar",3
BS,"Kickflip, Fakie",3
BS,"Kickflip, Indy, Fakie",3
FS,"Kickflip, Indy, Fakie",3
BS,"Kickflip, Melon, Bodyjar",3
FS,"Trayflip, Tail Grab",3
BS,Trayflip,3
BS,Kickflip,3
BS,"Kickflip, 50-50",3
BS,180,3
BS,"180, Fakie",3
BS,"Fakie, 180",3
BS,"Big Spin, Smith",3
Switch,Lip Slide,3
FS,Nose Bluntslide,3
BS,Big Spin,3
BS,"Big Spin, Disaster",3
BS,Sugarcane,3
FS,Blunt,3
BS,"Nose Grab, 180",3
BS,Nose Blunt,3
BS,"Ollie, Nose Blunt",3
FS,"Ollie, 180, 50-50, Fakie",3
FS,"Ollie, 180, 50-50",3
BS,"Ollie, Body Varial",3
BS,"Ollie, Body Varial, Disaster",3
FS,"180 Halfcab, Blunt, Fakie",3
FS,"Big Spin, Tail Grab",3
BS,"Boneless, Disaster",3
FS,"Fakie, 180 Halfcab, Blunt",3
Revert,"Ollie, Nose Grind",3
BS,"Boneless, Board Varial",3
FS,"Frontside Invert, One Foot Invert",3
BS,Boneless,3
FS,"Boneless, Tail Tap",3
FS,Nose Blunt,3
FS,"Ollie, Nose Blunt",3
FS,Boneless,3
FS,"Pop Shove-It, Tail Grab",3
BS,"360, Backside Air, Rock & Roll",3
BS,"360, Nose Grab, Rock & Roll",3
FS,Board Varial,3
BS,"Board Varial, Indy",3
FS,"Pop Shove-It, Frontside Air",3
FS,"Nose Grind, Fakie",3
BS,"Feeble, Lip Slide",3
BS,"Tail Grab, Body Varial, Disaster",3
BS,Board Varial,3
BS,"Cab, Disaster",3
FS,"5-0 Stand Up, Fakie",3
FS,"Fakie, 5-0 Stand Up",3
BS,"Board Varial, Eggplant",3
FS,"Body Varial, Lein Tail",3
"FS, BS","Ollie, 270, Cab, Disaster",3
FS,"Ollie, 5-0 , Fakie",3
BS,"Roll Out, Alley Oop, Ollie",3
FS,Ching Ching,3
BS,Ching Ching,3
BS,Bluntslide,3
BS,Eggplant,3
BS,"Nollie, Pop Shove-It",3
BS,"Ollie, Bluntslide",3
BS,"Fakie, Big Spin",2
BS,Goodbuddy,2
BS,"Fakie, Big Spin, Decker",2
"BS, BS","Ollie, Eggplant",2
BS,Bodyjar,2
BS,"Alley Oop, Bodyjar",2
BS,"Bodyjar, Alley Oop",2
BS,"Fridget, Bodyjar",2
FS,Feeble,2
BS,Lein Tail,2
FS,"Fakie, 180",2
Switch,"Fakie, Feeble",2
FS,"Ollie, Feeble",2
BS,"Saran Wrap, Bodyjar",2
FS,"Kickflip, Frontside Air",2
NA,"Kickflip, Frontside Air",2
FS,"Kickflip, Indy",2
FS,"Frontside Air, 360",2
BS,"Indy, Kickflip",2
BS,"Kickflip, Indy",2
FS,"Ollie, Nose Grind, Fakie",2
BS,"5-0 Stand Up, Disaster",2
FS,Nose Grind,2
"FS, FS",Nose Grind,2
FS,"Mute, 360",2
FS,"Smith, Nose Grind",2
FS,"Ollie, 360",2
FS,"Ollie, Nose Grind",2
FS,"5-0 Stand Up, Crooked Grind",2
BS,"50-50, Lip Slide",2
FS,Eggplant,2
FS,Frontside Invert,2
FS,"Finger Flip, Disaster",2
BS,"Indy, Disaster",2
"BS, FS","Feeble, Hurricane",2
FS,"Fakie, Nose Grind",2
FS,"Blunt, Decker",2
FS,"Blunt, Disaster",2
FS,"Blunt, Frontflip",2
BS,Tailslide,2
FS,"180 Halfcab, Nose Blunt",2
FS,Finger Flip,2
FS,"Lip Slide, Losi",2
BS,"Backside Air, Body Varial",2
BS,"Ollie, Tailslide",2
BS,"Blunt, Decker",2
BS,"Blunt, Disaster",2
FS,"Ollie, Ollie One Foot",2
FS,Ollie One Foot,2
BS,"Ollie, Ollie One Foot",2
FS,"Frontside Air, Ollie One Foot",2
FS,Rockslide,2
FS,Sugarcane,2
FS,"Finger Flip, Lein Tail",2
BS,"Ollie, Crooked Grind",2
FS,"Frontside Air, Disaster",2
FS,"Ollie, Sugarcane",2
Revert,Sugarcane,2
FS,"Fakie, Blunt",2
BS,Elguerial,2
BS,"Ollie, Truck Bash",2
BS,"Fakie, Nose Blunt",2
BS,"180 Halfcab, Feeble",2
FS,"Madonna, Disaster",2
BS,"5-0 Stand Up, Tailslide",2
BS,Andrecht,2
BS,"Feeble, 270",2
FS,"Ollie One Foot, Tail Grab",2
FS,"Smith, Tailslide",2
BS,"5-0 , Tailslide",2
FS,"5-0 Stand Up, Tailslide",2
FS,"Frontside Air, One Foot",2
BS,"5-0 Stand Up, Fakie",2
BS,"Feeble, 5-0 Stand Up, Fakie",2
FS,"50-50, Fakie",2
BS,"Cab, Bodyjar",2
"Revert, FS",5-0 ,2
BS,Cab,2
"Revert, BS",Decker,2
Revert,Decker,2
"Revert, Revert",Decker,2
Revert,Disaster,2
Revert,"Fakie, Decker",2
BS,180 Halfcab,2
FS,"180 Halfcab, 5-0 Stand Up, Fakie",2
BS,"5-0 Stand Up, Rockslide",2
BS,"Fakie, 180 Halfcab",2
BS,"Cab, Nose Grind",2
BS,"Lip Slide, Alley Oop",2
BS,Ollie One Foot,2
BS,"Smith, Feeble",2
NA,"Alley Oop, Nose Grind, Fakie",2
Revert,"Boneless, 180",2
BS,"Cab, Judo, Nose Grab",2
BS,Lip Slide,2
BS,Nose Grind,2
BS,Smith,2
BS,"Ollie, Lip Slide",2
Revert,Tailslide,2
Revert,"Nollie, 180, Tail Tap",2
BS,"180 Halfcab, Indy",2
FS,"Alley Oop, Frontside Air, Disaster",2
BS,"Alley Oop, Ollie, Disaster",2
Revert,"Nollie, 180, Tail Transfer",2
FS,"Ollie, Tailslide, Revert",2
BS,Nose Grab Tailslide,2
BS,"180 Halfcab, Boneless",2
NA,"Alley Oop, 180 Halfcab",2
FS,"Alley Oop, 50-50",2
FS,"Alley Oop, Ollie",2
BS,"Cab, Stalefish",2
FS,"Ollie, Alley Oop",2
FS,Tail Grab,2
FS,Bean Plant,2
BS,"Indy, Fakie",2
FS,"Ollie, Tail Grab",2
FS,"Boneless, Disaster",2
FS,"Frontside Air, Fakie",2
FS,"Ollie, 5-0 ",2
FS,"Ollie, 5-0 Stand Up",2
BS,"Nose Grab, Disaster",2
FS,"Nosebone, Disaster",2
FS,"Lein Air, Indy, Disaster",2
FS,"Ollie, 50-50",2
BS,"Backside Air, Disaster",2
FS,"Lein Tail, Judo",2
"BS, FS","Ollie, 5-0 Stand Up",2
FS,"Judo, Lein Tail",2
BS,"Indy, Alley Oop",2
FS,"Lein Air, Judo",2
FS,"Frontside Air, Nosebone",2
"FS, BS","Indy, Nosebone",2
BS,"Indy, Nosebone",2
FS,Nosebone,2
"FS, FS",Nosebone,2
FS,"Frontside Air, Tail Grab",2
BS,Nosebone,2
FS,"Alley Oop, Indy",2
FS,Crail Slide,2
FS,"Lip Slide, Smith",2
FS,"Nose Grind, Indy",2
FS,"Nose Grind, Tail Grab",2
BS,"Ollie, 5-0 ",2
BS,"Ollie, 5-0 Stand Up",2
"BS, FS","Ollie, Lip Slide, Smith",2
FS,"Ollie, Nose Grind, Tail Grab",2
FS,Seat Belt ,2
FS,"Boneless, Air Walk, Truck Bash",2
FS,"Smith, 5-0 ",2
BS,Tail Transfer,2
FS,"Roll Out, Boneless",2
FS,"Roll Out, Manual",2
FS,"Roll Out, Ollie, Boneless",2
"FS, FS","Smith, 5-0 , Frontside Air",2
NA,"Alley Oop, Indy",2
FS,"Smith, 5-0 Stand Up",2
Revert,"Fakie, Smith",2
BS,"Lein Tail, Tail Transfer",2
BS,"Nose Grab, Tail Transfer",2
FS,"Ollie, Nose Pick",2
FS,"5-0 Stand Up, Indy",1
FS,"Air Walk, Lein Air",1
FS,"Alley Oop, Lein Air, Judo",1
FS,"Alley Oop, Nose Grab, Lein Air",1
FS,"Alley Oop, Nosebone",1
FS,"Indy, Alley Oop",1
BS,"Ollie, Fakie",1
"FS, FS","Ollie, Roll Out, Fakie, 180, Boneless",1
BS,Rocket,1
FS,"Alley Oop, Lein Air",1
BS,"Alley Oop, Stalefish",1
"BS, BS","Alley Oop, Stalefish, Alley Oop, Indy",1
BS,"Alley Oop, Ollie",1
FS,"Alley Oop, Frontside Air",1
NA,"Alley Oop, Frontside Air",1
BS,"Alley Oop, Method",1
FS,"Frontside Air, Alley Oop",1
BS,"Ollie, Alley Oop",1
BS,"Alley Oop, Indy",1
BS,Saran Wrap,1
FS,"Alley Oop, Backside Air, Nosebone",1
FS,"Ollie, Pivot, Fakie",1
BS,"Ollie, Pivot, Fakie",1
FS,"Fridget, Lein Air",1
FS,"Ollie, Smith",1
BS,"Nose Grab, Fakie",1
FS," - , Manual, Nose Pick",1
BS,Manual,1
FS,Madonna,1
BS,"Ollie, Roll Out",1
BS,Roll Out,1
BS,"Roll Out, Roll In",1
BS,"Manual, Nose Pick",1
FS,"Fridget, Lein Tail",1
BS,"Alley Oop, Judo",1
BS,"Nose Grind, Indy",1
BS,"Alley Oop, Backside Air",1
FS,Crail Tail,1
BS,"Alley Oop, Nose Grab",1
FS,Tailslide,1
BS,Feeble,1
BS,"Feeble, Ollie",1
BS,"Ollie, Feeble",1
FS,"Ollie, Tailslide",1
FS,"Ollie, Tailslide, Lip Slide",1
FS,Stalefish,1
FS,Imposible Sweeper,1
FS,"Lein Air, Tailslide",1
FS,Air Walk,1
BS,"Cab, Axil Stall",1
FS,Smith,1
"FS, FS",Smith,1
FS,Slob Plants,1
BS,"50-50, Fakie",1
BS,Judo,1
FS,Mute,1
BS,Indy,1
NA,Indy,1
BS,Fridget,1
FS,"180 Halfcab, 5-0 Stand Up",1
BS,"180 Halfcab, Manual",1
FS,"Alley Oop, 5-0 ",1
FS,"Fakie, 5-0 ",1
BS,Mute,1
"FS, Switch, FS","Frontside Air, 180, Feeble",1
"FS, FS","Stalefish, 5-0 ",1
FS,Bodyjar,1
FS,"Frontside Air, 180",1
FS,Lein Tail,1
FS,"Smith, Tail Grab",1
FS,"Lein Air, Melon",1
FS,"Melon, Lein Air",1
FS,Lein Air,1
FS,"Nose Grab, Lein Air",1
FS,"5-0 , Manual",1
BS,Backside Air,1
BS,"Backside Air, 180",1
FS,"Fakie, 50-50, Indy",1
FS,Frontside Air,1
"FS, FS",Frontside Air,1
BS,Lein Air,1
BS,Melon,1
"Switch, FS","Fakie, 50-50",1
FS,"Fakie, 50-50",1
BS,"Fakie, Mute",1
BS,"Feeble, Fakie",1
FS,"50-50, 5-0 Stand Up",1
BS,"Alley Oop, Decker",1
BS,"Alley Oop, Disaster",1
FS,"Ollie, 180",1
BS,"Ollie, 180",1
BS,"Ollie, Disaster",1
BS,"Ollie, Disaster",1
BS,"Manual, Decker",1
BS,Ollie,1
FS,Manual,1
FS,"Manual, Roll In",1
FS,"Ollie, Roll Out",1
FS,Roll Out,1
FS,Lip Slide,1
FS,"Ollie, Disaster",1
NA,"Nollie, 180, Fakie",1
"BS, BS","Ollie, Ollie",1
BS,"Nollie, 180",1
FS,"Ollie, Lip Slide",1
FS,Ollie,1
BS,Nose Grab,1
FS,"Nose Grab, Lein Tail",1
FS,"Ollie, Lein Tail",1
BS,"Ollie, Tail Tap",1
BS,Decker,1
BS,Disaster,1
FS,Disaster,1
BS,"Fakie, Ollie, Losi, Smith",1
Switch,Feeble,1
Switch,"Feeble, Fakie",1
FS,"Fakie, Ollie, Smith",1
FS,"Fakie, Smith",1
BS,"Fakie, Lip Slide",1
NA,"Fakie, Lip Slide",1
FS,"50-50, Ollie",1
BS,"Rockslide, Fakie",1
BS,"Fakie, Lip Slide, Fakie",1
BS,"Ollie, Rockslide, Fakie",1
FS,"Fakie Ollie, Fakie",1
Fakie,"Fakie, Decker",1
BS,"Fakie, Decker",1
BS,"Fakie, Rockslide",1
FS,5-0 Stand Up,1
FS,"5-0 Stand Up, 50-50",1
BS,"Fakie, Ollie",1
BS,5-0 Stand Up,1
BS,Pivot,1
FS,50-50,1
BS,"Axil Stall,  - ",1
BS,50-50,1
BS,Axil Stall,1
FS,5-0 ,1
BS,5-0 ,1
BS,"Axil Stall, 270",1
FS,NA,1
NA,NA,1
